Flow_ID,Client_IP_1,Client_IP_2,Client_IP_3,Client_IP_4,Client_IP,Client_Port,Server_IP_1,Server_IP_2,Server_IP_3,Server_IP_4,Server_IP,Server_Port,Transport,Start,End,Duration,Frames,Payload_Bytes,TCP_Flags,File_ID,Gannt_Chart
0,244,3,41,252,4093848060,41719,41,177,3,203,699466699,5666,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,16,2788,  APRSF,1,
1,253,160,251,85,4255185749,39797,253,37,253,43,4247125291,446,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,251,138362,  AP  F,1,
2,244,3,210,254,4093891326,5900,41,177,244,177,699528369,56182,TCP,12/17/2009 16:37,12/17/2009 16:41,03:43.,1197,175665,  AP   ,1,
3,193,135,161,57,3246891321,62699,41,177,26,46,699472430,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:01.,137,125784,  A R F,1,
4,210,197,167,105,3536168809,3237,41,177,26,15,699472399,80,TCP,12/17/2009 16:37,12/17/2009 16:41,03:43.,8927,7759356,  AP   ,1,
5,117,208,13,164,1976569252,26600,41,177,26,15,699472399,80,TCP,12/17/2009 16:37,12/17/2009 16:38,00:38.,4040,3411300,  APR F,1,
6,203,218,3,108,3420062572,56581,41,177,26,15,699472399,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,182,146290,  AP  F,1,
7,41,177,3,224,699466720,38186,41,177,117,184,699495864,1618,TCP,12/17/2009 16:37,12/17/2009 16:39,02:29.,33449,22170702,  AP  F,1,
9,68,33,164,161,1143055521,8727,244,3,160,239,4093878511,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:11.,121,90398,  AP  F,1,
10,244,3,210,254,4093891326,5900,41,177,244,185,699528377,51175,TCP,12/17/2009 16:37,12/17/2009 16:41,03:43.,1053,167647,  AP   ,1,
11,77,197,128,155,1304789147,1026,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,12,6853,  APR  ,1,
12,77,197,128,106,1304789098,16620,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:01.,18,11624,  APR  ,1,
13,197,98,202,224,3311586016,11638,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:38,00:38.,69,25113,  AP  F,1,
14,90,38,138,255,1512475391,5328,244,3,160,239,4093878511,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:01.,33,20378,  AP  F,1,
15,41,177,3,224,699466720,51255,41,177,117,184,699495864,1605,TCP,12/17/2009 16:37,12/17/2009 16:41,03:40.,199,66183,  AP   ,1,
17,244,3,160,239,4093878511,38136,198,123,241,156,3330011548,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:01.,31,20347,  AP SF,1,
19,77,197,128,142,1304789134,56576,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,8,3713,  APR  ,1,
21,241,18,188,34,4044536866,2357,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:28.,34,10994,  APR F,1,
22,253,213,108,40,4258622504,1596,253,37,253,43,4247125291,23,TCP,12/17/2009 16:37,12/17/2009 16:37,00:17.,22,4570,  AP   ,1,
23,41,177,26,15,699472399,80,77,197,128,151,1304789143,44572,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,23,20576,  APR  ,1,
25,204,48,176,121,3425742969,80,244,3,160,239,4093878511,38130,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,8,1828,  AP SF,1,
27,204,48,176,121,3425742969,80,244,3,160,239,4093878511,38131,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,9,1837,  AP SF,1,
28,41,177,3,224,699466720,51281,41,177,117,184,699495864,1605,TCP,12/17/2009 16:37,12/17/2009 16:41,03:40.,200,66179,  AP   ,1,
29,204,48,176,121,3425742969,80,244,3,160,239,4093878511,38132,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,9,1674,  AP SF,1,
30,204,48,176,121,3425742969,80,244,3,160,239,4093878511,38133,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,9,1532,  AP SF,1,
31,204,48,176,121,3425742969,80,244,3,160,239,4093878511,38134,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,9,1484,  AP SF,1,
32,244,3,31,181,4093845429,47389,41,177,98,220,699491036,7000,TCP,12/17/2009 16:37,12/17/2009 16:39,02:01.,61,6298,  AP   ,1,
33,204,48,176,121,3425742969,80,244,3,160,239,4093878511,38135,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,9,1515,  AP SF,1,
34,197,98,202,224,3311586016,11647,41,177,26,15,699472399,80,TCP,12/17/2009 16:37,12/17/2009 16:38,01:23.,731,625038,  APR F,1,
35,197,98,202,224,3311586016,11652,41,177,26,15,699472399,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:21.,62,47891,  APR F,1,
36,197,98,202,224,3311586016,11648,41,177,26,15,699472399,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:21.,80,63928,  APR F,1,
37,188,68,72,40,3158591528,80,244,3,160,239,4093878511,38079,TCP,12/17/2009 16:37,12/17/2009 16:37,00:04.,1166,1123830,  AP  F,1,
40,244,3,160,239,4093878511,80,244,3,117,184,4093867448,4518,TCP,12/17/2009 16:37,12/17/2009 16:37,00:04.,1725,1123830,  AP  F,1,
41,244,3,160,239,4093878511,35668,176,41,89,210,2955499986,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:11.,116,90398,  AP  F,1,
42,193,135,161,57,3246891321,62747,41,177,26,46,699472430,80,TCP,12/17/2009 16:37,12/17/2009 16:41,03:43.,16301,15236767,  AP S,1,
46,197,98,202,224,3311586016,11649,41,177,26,15,699472399,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:21.,64,48835,  APR F,1,
47,197,98,202,224,3311586016,11650,41,177,26,15,699472399,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:21.,80,63666,  APR F,1,
50,197,98,202,224,3311586016,11651,41,177,26,15,699472399,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:21.,64,48860,  APR F,1,
51,254,57,4,116,4265149556,3259,244,3,160,239,4093878511,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,41,23338,  AP  F,1,
52,253,213,108,68,4258622532,1715,253,37,253,43,4247125291,23,TCP,12/17/2009 16:37,12/17/2009 16:40,02:53.,65,12746,  AP   ,1,
53,79,160,108,161,1335913633,8101,41,177,26,91,699472475,80,TCP,12/17/2009 16:37,12/17/2009 16:39,01:48.,157,109719,  APR F,1,
54,77,197,128,143,1304789135,21819,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:01.,20,11489,  APRS,1,
55,41,177,3,203,699466699,58386,41,177,3,224,699466720,1791,TCP,12/17/2009 16:37,12/17/2009 16:41,03:40.,150,42687,  AP   ,1,
57,244,3,153,177,4093876657,1554,41,177,117,203,699495883,1632,TCP,12/17/2009 16:37,12/17/2009 16:41,03:41.,132,10956,  AP   ,1,
60,244,3,34,61,4093846077,1065,244,3,41,84,4093847892,23,TCP,12/17/2009 16:37,12/17/2009 16:41,03:43.,370,93960,  AP   ,1,
63,41,177,3,224,699466720,48741,41,177,117,184,699495864,1607,TCP,12/17/2009 16:37,12/17/2009 16:41,03:40.,197,65452,  AP   ,1,
64,41,177,26,176,699472560,80,122,39,210,202,2049430218,41648,TCP,12/17/2009 16:37,12/17/2009 16:40,03:04.,8,11040,  AP   ,1,
66,244,3,160,239,4093878511,80,244,3,213,210,4093892050,5827,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,7,649,  AP  F,1,
67,244,3,160,239,4093878511,80,244,3,213,210,4093892050,15229,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,7,658,  AP  F,1,
68,244,3,160,239,4093878511,80,244,3,213,210,4093892050,6233,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,7,495,  AP  F,1,
69,244,3,160,239,4093878511,80,244,3,213,210,4093892050,11376,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,7,360,  AP  F,1,
70,244,3,79,4,4093857540,1541,41,177,98,220,699491036,7030,TCP,12/17/2009 16:37,12/17/2009 16:41,03:41.,528,57709,  AP   ,1,
71,244,3,160,239,4093878511,80,244,3,213,210,4093892050,12550,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,7,310,  AP  F,1,
73,244,3,160,239,4093878511,80,244,3,213,210,4093892050,5147,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,7,337,  AP  F,1,
75,244,3,93,198,4093861318,1904,41,177,241,254,699527678,3389,TCP,12/17/2009 16:37,12/17/2009 16:41,03:43.,447,4237,  AP   ,1,
